Key,Duplicate,Semantic number,Scrape Name,Cleaned Name,Scrape Identifier,Object (what is it?),Year,Ety. type,2nd Ety. type,Etymology,Full Expansion/Phrase,1st Jargon,1st Jargon Type Connection,2nd Jargon,2nd Jargon Type Connection,END/RECURSIVE?,Explanation,Cultural Heritage (CH),CH Subclass,CH Last Class,Version Numbering?,Source,Additional Information,3rd Jargon,3rd Jargon Type Connection,4th Jargon,4th Jargon Type Connection
1,,1,,Dink Smallwood,ADD,,,,,,,,,,,,Video game Character,,,,,,,,,,
2,,1,,OTcl,ADD,,,,,,,Tcl,,Object-Oriented Programming,,,Objected Oriented Tcl,,,,,,,,,,
3,,1,,Join-calculus,ADD,,,,,,,,,,,,,,,,,,,,,,
4,,1,,bit,ADD,,,,,,Binary Digit,,,,,,,,,,,,,,,,
5,,1,,vim,ADD,,,,,,Vi IMproved,Vi,,,,,,,,,,,,,,,
6,,1,,Autodesk,ADD,Company,,,,,,,,,,,Software Company,,,,,,,,,,
7,,1,,Mono (software),ADD,,,,,,,,,,,,A .NET Framework-,,,,,,,,,,
8,,1,,PDP-11,ADD,,,,,,Programmed Data Processor-11,,,,,,,,,,,,,,,,
9,,1,,Kivy,ADD,Company;Framework,,,,,,,,,,,"Is simultaneously a company, and framework, whcih was developed by the company",,,,,,,,,,
10,,1,,IMP,ADD,,,,,,,,,,,,????,,,,,,,,,,
11,,1,,Propeller,ADD,,,,,,,,,,,,Simply part of the name of a microcontroller.,,,,,,,,,,
12,,1,,Object-Oriented Programming,ADD,,,,,,,,,,,,A particular Programming PAradigm,,,,,,,,,,
13,,1,,"""""""load and go""""""",ADD,,,,,,,,,,,,Is a programming language processor,,,,,,,,,,
14,,1,,Apple,ADD,Company,,,,,,,,,,,Major Technology Firm,,,,,,,,,,
15,,1,,Oberon (moon),ADD,,,,,,,,,,,,One of Uranuses moons,,,,,,,,,,
16,,1,,Newton (product),ADD,Attribution,,,,,,Isaac Newton,,,,,Is a Personal Digital Assistant,,,,,,,,,,
17,,1,,Yahoo!,ADD,,,,,,,,,,,,Major Tech Firm,,,,,,,,,,
18,,1,,mIRC,ADD,,,,,,Mardam-Bey IRC,IRC,,,,,The authors own version of IRC,,,,,,,,,,
19,,1,,Amiga,ADD,,,,,,,,,,,,"A computer. Spanish for (female) ""friend"". Company policy dicatated that their products be named with Women names, though its likely that ""friend"" was a marketing ploy, given that the whole company renamed themselves ",,,,,,,,,,
20,,1,,Unreal Engine,ADD,,,,,,,,,,,,"A gaming system, refers to the quality of the graphics",,,,,,,,,,
21,,1,,SuperCollider,ADD,,,,,,,,,,,,A software. It incorporated sclang,,,,,,,,,,
22,,1,,ORCA,ADD,,,,,,,,,,,,A Desktop Development System,,,,,,,,,,
23,,1,,Digital Equiment Corporation,ADD,,,,,,,,,,,,A Major Tech firm,,,,,,,,,,
24,,1,,Quake,ADD,,,,,,,,,,,,A video game,,,,,,,,,,
25,,1,,Adenine (chemical),ADD,,,,,,,,,,,,"From wikipedia: "" It is one of the four nucleobases in the nucleic acid of DNA that are represented by the letters G–C–A–T""",,,,,,,,,,
26,,1,,Ericsson,ADD,,,,,,,,,,,,A tech firm,,,,,,,,,,
27,,1,,Neverwinter Nights,ADD,,,,,,,,,,,,Series of video games,,,,,,,,,,
28,,1,,Rosegarden,ADD,,,,,,,,,,,,Audio Software,,,,,,,,,,
29,,1,,Univac,ADD,,,,,,Universal Automatic Computer,,,,,,An early line of computers,,,,,,,,,,
30,,1,,OpenGL,ADD,,,,,,Open Graphics Library,,,,,,Software (library),,,,,,,,,,
31,,1,,pi-calculus,ADD,,,,,,,,,,,,A process calculus,,,,,,,,,,
32,,1,,Assembly,ADD,,,,,,,,,,,,Refers to the act of taking assembly vode and transforming it into machine instructions,,,,,,,,,,
33,,1,,CMS,ADD,,,,,,Compiler Monitor System,,,,,,"Note, that for this language there is a formal naming scheme made for the language and its implementation: https://en.wikipedia.org/wiki/CMS-2",,,,,,,,,,
34,,1,,WebCatalog,ADD,,,,,,,,,,,,A software combining multiple other software applications together,,,,,,,,,,
35,,1,,Autodesk 3ds Max,ADD,,,,,,,Autodesk,,,,,A 3D rendering software,,,,,,,,,,
36,,1,,Lotus Notes,ADD,,,,,,,,,,,,Spreadsheet software,,,,,,,,,,
37,,1,,Haskell Curry,ADD,,,,,,,,,,,,An American mathematician (1900-1982),,,,,,,,,,
38,,1,,Ubercode Software,ADD,,,,,,,,,,,,An AI software,,,,,,,,,,
39,,1,,Uniface (company),ADD,,,,,,,,,,,,A company focusing on developing an IDE,,,,,,,,,,
40,,1,,stream,ADD,,,,,,,,,,,,"A technical word, refering to a dissipation technique of data",,,,,,,,,,
41,,1,,Zebra Inc.,ADD,,,,,,,,,,,,A company focusing on mobile computing,,,,,,,,,,
42,,1,,ALGOL,ADD,,,,,,Algorithmic Language,,,,,,A family of computer Languages,,,,,,,,,,
43,,1,,Rechenplan,ADD,,,,,,,,,,,,"Konrad Zuse's name for what we now know as a ""program""",,,,,,,,,,
44,,1,,magma,ADD,,,,,,,,,,,,Subterranean Lava,,,,,,,,,,
45,,1,,St. Andrews,ADD,,,,,,,,,,,,"Refers to the University of St. Andrews in St. Andrews, Scotland",,,,,,,,,,
46,,1,,Curl Inc.,ADD,,,,,,,,,,,,A software development firm,,,,,,,,,,
47,,1,,IBM,ADD,,,,,,,International Business Machines,,,,,A large computer firm,,,,,,,,,,
48,,1,,Web,ADD,,,,,,,,,,,,"Refers to the ""World Wide Web""",,,,,,,,,,
49,,1,,Exodus (software),ADD,,,,,,,,,,,,,,,,,,,,,,
50,,1,,Oracle,ADD,,,,,,,,,,,,Based on the 'Oracle of Delphi',Artifact,,,,,,,,,
51,,1,,"PeopleSoft, Inc.",ADD,,,,,,,,,,,,Software Firm,,,,,,,,,,
52,,1,,REBOL (company),ADD,,,,,,,,,,,,Software Firm,,,,,,,,,,
53,,1,,Norsk Data,ADD,,,,,,,,,,,,,Language,Norwegian,,,,,,,,
54,,1,,Massachusetts,ADD,,,,,,,,,,,,A state in the United States of America,,,,,,,,,,
55,,1,,PARI,ADD,,,,,,Précision Arbitraire Arithmetique,,,,,,,Language,French,,,https://pari.math.u-bordeaux.fr/PDF/Dress-Acronyme-PARI.pdf,,,,,
56,,1,,binding,ADD,,,,,,,,,,,,,,,,,,,,,,
57,,1,,IBM System/360,ADD,,,,,,,IBM,,,,,,,,,,,,,,,
58,,1,,GameMaker,ADD,,,,,,,,,,,,Gaming Engine,,,,,,,,,,
59,,1,,OPS,ADD,,,,,,Official Production System,,,,,,,,,,,,,,,,
60,,1,,Protheus,ADD,,,,,,???,,,,,,,,,,,,,,,,
61,,1,,Tensilica,ADD,,,,,,,,,,,,U.S. Hardware firm,,,,,,,,,,
62,,1,,University of Waterloo,ADD,,,,,,,,,,,,University in Canada,,,,,,,,,,
63,,1,,Windows,ADD,,,,,,,,,,,,Microsoft's line of operating systems,,,,,,,,,,
64,,1,,FoxBase,ADD,,,,,,,dBase,,,,,Fox's implementation of the dBASE language,,,,,,,,,,
65,,1,,shell,ADD,,,,,,,,,,,,A program design to communicate with an operating system,,,,,,,,,,
66,,1,,Xtext,ADD,,,,,,,,,,,,,,,,,,,,,,
67,,1,,Microsoft,ADD,,,,,,,,,,,,"""micro-computer software"", to showcase that the firm is developing software for small computers",,,,,,,,,,
68,,1,,Closure,ADD,,,,,,,,,,,,A programming technique,,,,,,,,,,
69,,1,,4GL,ADD,,,,,,4th Generation Language,,,,,,"""4th Generation Language""",,,,,,,,,,
70,,1,,Object Oriented Programming,ADD,,,,,,,,,,,,A programming paradigm,,,,,,,,,,
71,,1,,GP,ADD,,,,,,,,,,,,,,,,,,,,,,
72,,1,,Emacs,ADD,,,,,,Editor MACroS,,,,,,,,,,,,,,,,
73,,1,,Sather Tower,ADD,,,,,,,,,,,,A tower in at the University of  Berkeley,,,,,,,,,,
74,,1,,Batch,ADD,,,,,,,,,,,,A file type,,,,,,,,,,
75,,1,,Nullsoft,ADD,,,,,,Nullsoft Scriptable Install System,Microsoft,Company,,,,"A software firm, the name, making fun of Microsoft",Animal,Lama,,,,,,,,
76,,1,,Kent,ADD,,,,,,,,,,,,Refers to the town/university of Kent,,,,,,,,,,
