Key,Duplicate,Semantic number,Scrape Name,Cleaned Name,Scrape Identifier,Object (what is it?),Year,Ety. type,2nd Ety. type,Etymology,Full Expansion/Phrase,1st Jargon,1st Jargon Type Connection,2nd Jargon,2nd Jargon Type Connection,END/RECURSIVE?,Explanation,Cultural Heritage (CH),CH Subclass,CH Last Class,Version Numbering?,Source,Additional Information,3rd Jargon,3rd Jargon Type Connection,4th Jargon,4th Jargon Type Connection
1,,1,GNU Binutils,GNU Binutils,GNU,,,,,,,,,,,,,,,,,,,,,,
2,,1,GNU Bison,GNU Bison,GNU,Software,,Phrase,,Noun,Bison,GNU,,yacc,Thematic,,,,,,,,,,,,
3,,9,GNU Hurd,GNU Hurd,GNU,Software,,Acronym,,Phrase,Hird of Unix-Replacing Daemons,,,Hird,Name,,,,,,,,,,,,
4,,1,GNU build system,GNU build system,GNU,Software,,Phrase,,Phrase,build system,GNU,,,,,,,,,,,,,,,
5,,7,Autoconf,Autoconf,GNU,Software,,Semi-Acronym,,Phrase,Automatic configuration,,,,,,,,,,,,,,,,
6,,7,Automake,Automake,GNU,Software,,Semi-Acronym,,Phrase,Automatic make,,,make,Meaning,,,,,,,,,,,,
7,,7,Libtool,GNU Libtool,GNU,Software,,Semi-Acronym,,Phrase,Library Tool,GNU,,,,,,,,,,https://en.wikipedia.org/wiki/GNU_Libtool,,,,,
8,,1,GNU Compiler Collection,GNU Compiler Collection,GNU,Software,,Phrase,,Phrase,Compiler Compilation,GNU,,,,,,,,,,,,,,,
9,,1,GNU Debugger,GNU Debugger,GNU,Software,,Phrase,,Noun,Debugger,GNU,,debugger,Meaning,,,,,,,,,,,,
10,,1,GNU m4,GNU m5,GNU,Software,,Semi-Acronym,,Phrase,macro 4,GNU,,,,,,,,,YES,,,,,,
11,,1,GNU make,GNU make,GNU,Software,,Word,,Verb,make,GNU,,make,,,,,,,,,,,,,
12,,1,BFD,BFD,GNU,Library,,Acronym,,Phrase,Binary File Descriptor library,GNU,,library,,,,,,,,,,,,,
13,,1,DotGNU,DotGNU,GNU,?,2001,Word,,Noun,Dot,GNU,,.NET Framework,Name,,,,,,,,,,,,
14,,1,GNU C Library,GNU C Library,GNU,,,,,,,,,,,,,,,,,,,,,,
15,,1,GNU Classpath,GNU Classpath,GNU,Library,1998,Word,,Noun,Classpath,GNU,,Java,Relationship,,,,,,,,,,,,
16,,7,GNU FriDidi,GNU FriDidi,GNU,,,,,,,,,,,,,,,,,,,,,,
17,,7,GNU ease.js,GNU ease.js,,,,,,,,,,,,,,,,,,,,,,,
18,,1,GNU gettext,GNU gettext,GNU,Library,,Phrase,,Phrase,get text,,,,,,,,,,,,,,,,
19,,1,Gnulib,Gnulib,GNU,,,,,,,,,,,,,,,,,,,,,,
20,,7,GNU libmicrohttpd,GNU libmicrohttpd,,,,,,,,,,,,,,,,,,,,,,,
21,,1,GNU lightning,GNU lightning,GNU,Software,,Phrase,,Phrase,Lightning,GNU,,,,,Function,,,,,,,,,,
22,,1,GNU oSIP,GNU oSIP,GNU,Library,,,,,,SIP,,GNU,,MISSING,,,,,,,,,,,
23,,1,GNU Portable Threads,GNU Portable Threads,GNU,?,,Phrase,,Phrase,Portable Threads,,,,,,,,,,,,,,,,
24,,1,CLISP,CLISP,GNU,Software,,Acronym,,Phrase,Common LISP,LISP,,GNU,,,,,,,,,,,,,
25,,1,Gawk,Gawk,GNU,Software,,Semi-Acronym,,Phrase,GNU awk,GNU,,awk,,,,,,,,,,,,,
26,,1,GnuCOBOL,GnuCOBOL,GNU,Software,,Word,,Noun,COBOL,COBOL,,GNU,,,,,,,,,,,,,
27,,9,COBOL,,GNU,language,,Phrase,,Phrase,common business-oriented language,,,,,,,,,,,,,,,,
28,,1,GNU Common Lisp,GNU Common Lisp,GNU,Software,,Phrase,,Phrase,Common LISP,LISP,,GNU,,,,,,,,,,,,,
29,,7,GNU MDK,GNU MDK,,,,,,,,,,,,,,,,,,,,,,,
30,,1,GNU Pascal,GNU Pascal,GNU,Software,,Attribution,,Word,Pascal,GNU,,,,,Dedicated to French Philosopher Blaise Pascal,,,,,,,,,,
31,,1,GNU Smalltalk,GNU Smalltalk,GNU,Software,,Word,,Word,Small talk,Smalltalk,,GNU,,,,,,,,,,,,,
32,,7,MIT/GNU Scheme,MIT/GNU Scheme,,,,,,,,,,,,,,,,,,,,,,,
33,,1,SmartEiffel,SmartEiffel,GNU,Software,,Phrase,,Phrase,Smart Eiffel,Smalltalk,Relationship,,,,,,,,,,,,,,
34,,1,Gforth,Gforth,GNU,Software,,Semi-Acronym,,Phrase,GNU forth,GNU,,forth,,,,,,,,,,,,,
35,,1,Data Display Debugger,Data Display Debugger,GNU,Software,,Phrase,,Phrase,Data Display Debugger,,,,,,,,,,,,,,,,
36,,10,GNU AutoGen,,GNU,Software,,Abbreviation,,Phrase,Automated Text Generation Tool,,,,,,,,,,,,,,,,
37,,1,GNU arch,GNU arch,GNU,Software,,Abbreviation,,Word,arch,archive,,GNU,,,,,,,,https://www.linuxjournal.com/article/7671,,,,,
38,,1,GNU Bazaar,GNU Bazaar,GNU,Software,2005,Word,,Word,Bazaar,,,GNU,,,Thematic connection to the distributed nature of the software,,,,,,,,,,
39,,1,GNU cflow,GNU cflow,GNU,Software,,Semi-Acronym,,Phrase,C control-flow,C,,control-flow,,,,,,,,,,GNU,,,
40,,7,GNU cppi,GNU cppi,,,,,,,,,,,,,,,,,,,,,,,
41,,7,GNU Fontutils,GNU Fontutils,,,,,,,,,,,,,,,,,,,,,,,
42,,7,GNU gperf,GNU gperf,,,,,,,,,,,,,,,,,,,,,,,
43,,7,GNU indent,GNU indent,GNU,Software,,Word,,Word,indent,,,GNU,,,,,,,,,,,,,
44,,7,GNU complexity,GNU complexity,,,,,,,,,,,,,,,,,,,,,,,
45,,1,GNUnited Nations,GNUnited Nations,GNU,Software,,Phrase,,Phrase,United Nations,,,GNU,,,Relates the idea of multilingual entities coming together to exchange information,,,,,,,,,,
46,YES,9,GIMP,,GNU,Software,1998,Acronym,,Phrase,GNU Image Manipulation Program,GNU,,,,,,,,,,,,,,,
