Key,Duplicate,Semantic number,Scrape Name,Cleaned Name,Scrape Identifier,Object (what is it?),Year,Ety. type,2nd Ety. type,Etymology,Full Expansion/Phrase,1st Jargon,1st Jargon Type Connection,2nd Jargon,2nd Jargon Type Connection,END/RECURSIVE?,Explanation,Cultural Heritage (CH),CH Subclass,CH Last Class,Version Numbering?,Source,Additional Information,3rd Jargon,3rd Jargon Type Connection,4th Jargon,4th Jargon Type Connection
1,N,1,A.NET (A#/A sharp),A#,PL,Port,1971,Semi-Acronym,,Word,Ada,Ada,Name,C#,Name,,,,,,,,,,,,
2,N,1,A-0 System,A-0 System,PL,Software,1951,Abbreviation,,Phrase,Arithmetic Language Version 0,,,,,END,,,,,YES,,,,,,
3,N,1,A+ (A plus),A+,PL,PL,1988,Abbreviation,,Word,Array+,APL,,,,,,,,,YES,,,,,,
4,N,1,A++,A++,PL,PL,1996,Abbreviation,,Phrase,abstraction plus reference plus synthesis,,,,,END,,,,,NO,,Version numbering: refers to the extra features that it has,,,,
5,N,1,ABAP,ABAP,PL,PL,1983,Abbreviation,,Phrase,Advanced Business Application Programming,,,,,END,,,,,,,,,,,
6,N,1,ABC,ABC,PL,PL,1987,Thematic,,Word,Algorithmic Language,ALGOL,,,,,,,,,,,,,,,
7,N,1,ABC ALGOL,ABC ALGOL,PL,PL,,,,,,,,,,,,,,,,,,,,,
8,N,1,ACC,ACC,PL,PL,??,Abbreviation,,Word,accelerator,,,,,,,,,,,,,,,,
9,N,1,Accent (Rational Synergy),Accent,PL,PL,1990?,,,,,,,,,,,,,,,,,,,,
10,N,1,Ace DASL (Distributed Application Specification Language),DASL,PL,PL,,Semi-Acronym,,Phrase,Distributed Application Specification Language,Ace,,,,,,,,,,,,,,,
11,N,1,Action!,Action!,PL,PL,1983,Thematic,,Word,,ECMAScript,,,,,"Likely inspiration from Hypertalk, though more research is needed",,,,,,https://en.wikipedia.org/wiki/ActionScript,,,,
12,N,1,ActionScript,ActionScript,PL,PL,2006,Thematic,,Word,,,,,,,"Likely a description of what it was supposed to do (games), although more research is needed",,,,,,https://forums.atariage.com/topic/217770-action-source-code/#comment-2849787,,,,
13,N,1,Actor,Actor,PL,PL,1988,,,,,,,,,UNSURE,,,,,,,,,,,
14,N,1,Ada,Ada,PL,PL,1980,Attribution,Girl's Name,,,,,,,,"Dedicated to Ada Lovelace, the first computer programmer",UNSURE,,,,,,,,,
15,N,1,Adenine (Haystack),Adenine,PL,PL,,Technical,,Word,,Adenine (chemical),,,,UNSURE,,,,,,,,,,,
16,N,1,AdvPL,AdvPL,PL,PL,,Semi-Acronym,,,Advanced Protheus Language,Protheus,,,,,,,,,,https://en.wikipedia.org/wiki/AdvPL,This is a proprietary language,,,,
