Link,URL,Title
software packages,/wiki/Software_package_(installation),Software package (installation)
Free Software Foundation,/wiki/Free_Software_Foundation,Free Software Foundation
GNU Project,/wiki/GNU_Project,GNU Project
Richard Stallman,/wiki/Richard_Stallman,Richard Stallman
Texinfo,/wiki/Texinfo,Texinfo
GNU Guile,/wiki/GNU_Guile,GNU Guile
GNU/Linux,/wiki/Linux_naming_controversy,Linux naming controversy
GNU operating system,/wiki/GNU_operating_system,GNU operating system
Unix,/wiki/Unix,Unix
POSIX,/wiki/POSIX,POSIX
plotutils,/wiki/Plotutils,Plotutils
C standard library,/wiki/C_standard_library,C standard library
bash,/wiki/Bash_(Unix_shell),Bash (Unix shell)
coreutils,/wiki/GNU_Core_Utilities,GNU Core Utilities
chgrp,/wiki/Chgrp,Chgrp
chown,/wiki/Chown,Chown
chmod,/wiki/Chmod,Chmod
dir,/wiki/Dir_(Unix),Dir (Unix)
mkdir,/wiki/Mkdir,Mkdir
mkfifo,/wiki/Mkfifo,Mkfifo
mknod,/wiki/Mknod,Mknod
cat,/wiki/Cat_(Unix),Cat (Unix)
cksum,/wiki/Cksum,Cksum
head,/wiki/Head_(Unix),Head (Unix)
tail,/wiki/Tail_(Unix),Tail (Unix)
md5sum,/wiki/Md5sum,Md5sum
tsort,/wiki/Tsort_(Unix),Tsort (Unix)
join,/wiki/Join_(Unix),Join (Unix)
tac,/wiki/Tac_(Unix),Tac (Unix)
paste,/wiki/Paste_(Unix),Paste (Unix)
basename,/wiki/Basename,Basename
chroot,/wiki/Chroot,Chroot
date,/wiki/Date_(Unix),Date (Unix)
dirname,/wiki/Dirname,Dirname
echo,/wiki/Echo_(command),Echo (command)
env,/wiki/Env_(shell),Env (shell)
groups,/wiki/Group_identifier_(Unix),Group identifier (Unix)
hostname,/wiki/Hostname,Hostname
nice,/wiki/Nice_(Unix),Nice (Unix)
nohup,/wiki/Nohup,Nohup
printf,/wiki/Printf,Printf
sleep,/wiki/Sleep_(command),Sleep (command)
cpio,/wiki/Cpio,Cpio
diffutils,/wiki/Diff,Diff
diff,/wiki/Diff,Diff
cmp,/wiki/Cmp_(Unix),Cmp (Unix)
diff3,/wiki/Diff3,Diff3
sdiff,/wiki/Sdiff,Sdiff
findutils,/wiki/Findutils,Findutils
find,/wiki/Find_(Unix),Find (Unix)
locate,/wiki/GNU_locate,GNU locate
xargs,/wiki/Xargs,Xargs
finger,/wiki/Finger_protocol,Finger protocol
grep,/wiki/Grep,Grep
groff,/wiki/Groff_(software),Groff (software)
GRUB,/wiki/GNU_GRUB,GNU GRUB
gzip,/wiki/Gzip,Gzip
hurd,/wiki/GNU_Hurd,GNU Hurd
microkernel,/wiki/Microkernel,Microkernel
inetutils,/wiki/Inetutils,Inetutils
ftp,/wiki/File_Transfer_Protocol,File Transfer Protocol
telnet,/wiki/Telnet,Telnet
rsh,/wiki/Remote_shell,Remote shell
rlogin,/wiki/Rlogin,Rlogin
tftp,/wiki/Tftp,Tftp
linux-libre,/wiki/Linux-libre,Linux-libre
kernel,/wiki/Kernel_(operating_system),Kernel (operating system)
Linux,/wiki/Linux_kernel,Linux kernel
source code,/wiki/Source_code,Source code
obfuscated,/wiki/Obfuscated_code,Obfuscated code
proprietary licenses,/wiki/Proprietary_software,Proprietary software
plotutils,/wiki/Plotutils,Plotutils
readline,/wiki/GNU_readline,GNU readline
screen,/wiki/GNU_Screen,GNU Screen
tar,/wiki/Tar_(file_format),Tar (file format)
texinfo,/wiki/Texinfo,Texinfo
time,/wiki/Time_(Unix),Time (Unix)
Gentoo,/wiki/Gentoo_Linux,Gentoo Linux
GNU Hurd,/wiki/GNU_Hurd,GNU Hurd
software developers,/wiki/Software_development,Software development
computer programmers,/wiki/Computer_programming,Computer programming
GNU toolchain,/wiki/GNU_toolchain,GNU toolchain
GNU Binutils,/wiki/GNU_Binutils,GNU Binutils
GNU Bison,/wiki/GNU_Bison,GNU Bison
parser generator,/wiki/Parser_generator,Parser generator
yacc,/wiki/Yacc,Yacc
GNU build system,/wiki/GNU_build_system,GNU build system
Autoconf,/wiki/Autoconf,Autoconf
Automake,/wiki/Automake,Automake
Libtool,/wiki/GNU_Libtool,GNU Libtool
GNU Compiler Collection,/wiki/GNU_Compiler_Collection,GNU Compiler Collection
compiler,/wiki/Compiler,Compiler
programming languages,/wiki/Programming_language,Programming language
C++,/wiki/C%2B%2B,C++
Fortran,/wiki/Fortran,Fortran
Ada,/wiki/Ada_programming_language,Ada programming language
Java,/wiki/Java_(programming_language),Java (programming language)
GNU Debugger,/wiki/GNU_Debugger,GNU Debugger
debugger,/wiki/Debugger,Debugger
GNU m4,/wiki/GNU_m4,GNU m4
GNU make,/wiki/Make_(software)#Modern_versions,Make (software)
libraries,/wiki/Library_(computing),Library (computing)
software frameworks,/wiki/Software_framework,Software framework
BFD,/wiki/Binary_File_Descriptor_library,Binary File Descriptor library
DotGNU,/wiki/DotGNU,DotGNU
Microsoft .NET,/wiki/Microsoft_.NET,Microsoft .NET
GNU C Library,/wiki/GNU_C_Library,GNU C Library
POSIX,/wiki/POSIX,POSIX
C library,/wiki/C_standard_library,C standard library
GNU Classpath,/wiki/GNU_Classpath,GNU Classpath
Java,/wiki/Java_(programming_language),Java (programming language)
Unicode,/wiki/Unicode,Unicode
Bidirectional Algorithm,/wiki/Bi-directional_text,Bi-directional text
Object-Oriented,/wiki/Object-oriented_programming,Object-oriented programming
JavaScript,/wiki/JavaScript,JavaScript
GNU gettext,/wiki/GNU_gettext,GNU gettext
Gnulib,/wiki/Gnulib,Gnulib
HTTP,/wiki/HTTP,HTTP
GNU lightning,/wiki/GNU_lightning,GNU lightning
just-in-time compilation,/wiki/Just-in-time_compilation,Just-in-time compilation
GNU oSIP,/wiki/GNU_oSIP,GNU oSIP
Session Initiation Protocol,/wiki/Session_Initiation_Protocol,Session Initiation Protocol
GNU Portable Threads,/wiki/GNU_Portable_Threads,GNU Portable Threads
POSIX,/wiki/POSIX,POSIX
GNU Compiler Collection,/wiki/GNU_Compiler_Collection,GNU Compiler Collection
CLISP,/wiki/CLISP,CLISP
ANSI,/wiki/American_National_Standards_Institute,American National Standards Institute
Common Lisp,/wiki/Common_Lisp,Common Lisp
Gawk,/wiki/AWK#Versions_and_implementations,AWK
GnuCOBOL,/wiki/GnuCOBOL,GnuCOBOL
COBOL,/wiki/COBOL,COBOL
GNU Common Lisp,/wiki/GNU_Common_Lisp,GNU Common Lisp
Common Lisp,/wiki/Common_Lisp,Common Lisp
MIX,/wiki/MIX,MIX
GNU Pascal,/wiki/GNU_Pascal,GNU Pascal
Pascal,/wiki/Pascal_(programming_language),Pascal (programming language)
GNU Smalltalk,/wiki/GNU_Smalltalk,GNU Smalltalk
ANSI,/wiki/American_National_Standards_Institute,American National Standards Institute
Smalltalk,/wiki/Smalltalk,Smalltalk
MIT/GNU Scheme,/wiki/MIT/GNU_Scheme,MIT/GNU Scheme
Scheme programming language,/wiki/Scheme_(programming_language),Scheme (programming language)
MIT,/wiki/Massachusetts_Institute_of_Technology,Massachusetts Institute of Technology
SmartEiffel,/wiki/SmartEiffel,SmartEiffel
Eiffel,/wiki/Eiffel_(programming_language),Eiffel (programming language)
Gforth,/wiki/Gforth,Gforth
