Link,URL,Title
Programming languagelists,/wiki/Lists_of_programming_languages,Lists of programming languages
Categorical,/wiki/List_of_programming_languages_by_type,List of programming languages by type
Chronological,/wiki/Timeline_of_programming_languages,Timeline of programming languages
Generational,/wiki/Generational_list_of_programming_languages,Generational list of programming languages
programming languages,/wiki/Programming_language,Programming language
Dialects,/wiki/List_of_BASIC_dialects,List of BASIC dialects
BASIC,/wiki/BASIC,BASIC
esoteric programming languages,/wiki/Esoteric_programming_language,Esoteric programming language
markup languages,/wiki/Markup_language,Markup language
imperative,/wiki/Imperative_programming,Imperative programming
Turing-complete,/wiki/Turing_completeness,Turing completeness
executable,/wiki/Executable,Executable
markups,/wiki/Markup_language,Markup language
HTML,/wiki/HTML,HTML
XML,/wiki/XML,XML
SQL,/wiki/SQL,SQL
A.NET (A#/A sharp),/wiki/A_Sharp_(.NET),A Sharp (.NET)
A-0 System,/wiki/A-0_System,A-0 System
A+ (A plus),/wiki/A%2B_(programming_language),A+ (programming language)
A++,/wiki/A%2B%2B,A++
ABAP,/wiki/ABAP,ABAP
ABC,/wiki/ABC_(programming_language),ABC (programming language)
ABC ALGOL,/wiki/ABC_ALGOL,ABC ALGOL
ACC,/wiki/ACC_(programming_language),ACC (programming language)
Accent (Rational Synergy),/wiki/Accent_(programming_language),Accent (programming language)
Ace DASL (Distributed Application Specification Language),/wiki/Distributed_Application_Specification_Language,Distributed Application Specification Language
Action!,/wiki/Action!_(programming_language),Action! (programming language)
ActionScript,/wiki/ActionScript,ActionScript
Actor,/wiki/Actor_(programming_language),Actor (programming language)
Ada,/wiki/Ada_(programming_language),Ada (programming language)
Adenine (Haystack),/wiki/Adenine_(programming_language),Adenine (programming language)
AdvPL,/wiki/AdvPL,AdvPL
Agda,/wiki/Agda_(theorem_prover),Agda (theorem prover)
Agilent VEE (Keysight VEE),/wiki/Agilent_VEE,Agilent VEE
Agora,/wiki/Agora_(programming_language),Agora (programming language)
AIMMS,/wiki/AIMMS,AIMMS
Aldor,/wiki/Aldor,Aldor
Alef,/wiki/Alef_(programming_language),Alef (programming language)
ALF,/wiki/Algebraic_Logic_Functional_programming_language,Algebraic Logic Functional programming language
ALGOL 58,/wiki/ALGOL_58,ALGOL 58
ALGOL 60,/wiki/ALGOL_60,ALGOL 60
ALGOL 68,/wiki/ALGOL_68,ALGOL 68
ALGOL W,/wiki/ALGOL_W,ALGOL W
Alice (Alice ML),/wiki/Alice_(programming_language),Alice (programming language)
Alma-0,/wiki/Alma-0,Alma-0
AmbientTalk,/wiki/AmbientTalk,AmbientTalk
Amiga E,/wiki/Amiga_E,Amiga E
AMOS (AMOS BASIC),/wiki/AMOS_(programming_language),AMOS (programming language)
AMPL,/wiki/AMPL,AMPL
Analitik,/wiki/%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Аналитик
AngelScript,/wiki/AngelScript,AngelScript
Apache Pig latin,/wiki/Apache_Pig,Apache Pig
"Apex (Salesforce.com, Inc)",/wiki/Apex_(programming_language),Apex (programming language)
APL,/wiki/APL_(programming_language),APL (programming language)
App Inventor for Android's visual block language (MIT App Inventor),/wiki/App_Inventor_for_Android_(programming_language),App Inventor for Android (programming language)
AppleScript,/wiki/AppleScript,AppleScript
APT,/wiki/APT_(programming_language),APT (programming language)
Arc,/wiki/Arc_(programming_language),Arc (programming language)
ARexx,/wiki/ARexx,ARexx
Argus,/wiki/Argus_(programming_language),Argus (programming language)
Assembly language (ASM),/wiki/Assembly_language,Assembly language
AutoHotkey,/wiki/AutoHotkey,AutoHotkey
AutoIt,/wiki/AutoIt,AutoIt
AutoLISP / Visual LISP,/wiki/AutoLISP,AutoLISP
Averest,/wiki/Averest,Averest
AWK,/wiki/AWK,AWK
Axum,/wiki/Axum_(programming_language),Axum (programming language)
Babbage,/wiki/Babbage_(programming_language),Babbage (programming language)
Ballerina,/wiki/Ballerina_(programming_language),Ballerina (programming language)
Bash,/wiki/Bash_(Unix_shell),Bash (Unix shell)
